book_title,author_name,keywords
The Hazel Wood,Melissa Albert (Goodreads Author),alice; olivia; grandmother; poetry; hazel; wood; poet; mother; topics; luck; educator; podcast; poems; friend; tales; party; best; new; bad; random
The House of Sleep,Jonathan Coe (Goodreads Author),born; sleep; obsession; prize; novelist; college; dreams; english; poetry; fretful; manor; unstable; eradicate; gothic; coe; reunite; arise; terry; award; gregory
Fractured,Karin Slaughter (Goodreads Author),bir; slaughter; ve; da; karin; trent; kendi; ın; thriller; georgia; en; hem; winner; cop; nomination; blindsighted; series; crime; best; award
The Door Within,Wayne Thomas Batson (Goodreads Author),aidan; alleble; paragor; glimpse; eliam; gwenne; antoinette; realm; grandfather; unseen; nightmares; fought; storm; human; discovers; witness; eyes; evil; good; confined
Lord Brocktree,Brian Jacques,redwall; jacques; liverpool; rally; otters; squirrels; lacks; hares; execute; brocktree; wildcat; salamandastron; badger; mice; hordes; captured; blue; mountain; unlikely; legendary
"Wind, Sand and Stars","Antoine de Saint-Exupéry, Lewis Galantière (Translator)",paris; prix; recipient; grandeur; isolation; french; lewis; flight; sand; flying; lyrical; philosopher; wind; captures; combined; translated; grand; stars; prose; air
"Tsubasa: RESERVoir CHRoNiCLE, Vol. 1","CLAMP, Anthony Gerard (Translator)",syaoran; sakura; russia; germany; dig; uk; inventor; france; reside; symbol; born; uncovered; triggers; ventures; site; promises; expect; saving; embarks; happen
The Teachings of Don Juan: A Yaqui Way of Knowledge,Carlos Castañeda,castaneda; road; journey; ixtlan; juan; teachings; analysis; separate; spiritual; steps; remarkable; knowledge; continues; reality; includes; don; man; story; yaqui; matus
Gregor and the Curse of the Warmbloods,Suzanne Collins,gregor; collins; hunger; plague; underland; games; spreading; bestselling; times; overlander; york; new; ward; 1st; help; catching; pryor; suzanne; july; closest
Destined,Aprilynne Pike,pike; laurel; aprilynne; wings; faerie; avalon; destined; best; selling; seller; illusions; isbn; troll; series; debuted; 978; chelsea; tamani; theft; debut
Fracture Me,Tahereh Mafi,mafi; adam; shatter; fracture; reestablishment; brother; tolerate; destroy; furthermore; california; prepares; stationed; upcoming; cared; restore; battlefield; breakup; finale; reveal; ignite
Hidden,Sophie Jordan (Goodreads Author),kingsolver; jacinda; cassian; prize; things; foreseen; ran; resisted; guarantee; captors; copperhead; bellwether; sacrifices; posing; vegetable; venture; disguise; escaping; congo; spiral
Sword in the Storm,David Gemmell,gemmell; seidh; connavar; rigante; legend; receives; water; warrior; rhythms; demonblade; dwell; waylander; forged; bears; timeless; proud; destroying; merciless; sword; glorious
Vanish,Tess Gerritsen (Goodreads Author),gerritsen; maura; jane; rizzoli; isles; gabriel; body; corpse; hostage; pregnant; crisis; tess; chinese; harvest; thrillers; medical; hostages; awaiting; bag; blessed
Blindsighted,Karin Slaughter (Goodreads Author),slaughter; sara; killer; trent; thriller; georgia; local; winner; karin; town; cop; nomination; blindsighted; diner; erupts; crucified; malevolent; pediatrician; macabre; psychopath
Lord of the Silver Bow,David Gemmell,gemmell; golden; legend; troy; passionate; prince; won; love; waylander; taut; priestess; excellence; betrothed; pleases; bow; deeds; defenses; skilled; ageless; engulf
Shame,Salman Rushdie,rushdie; shame; debauched; shamelessness; humiliation; pakistan; unnamed; verses; wager; portrays; duel; salman; roots; timely; ongoing; stage; dazzling; pleasure; quite; honor
From Russia With Love,Ian Fleming,fleming; bond; smersh; ian; james; spy; books; favourite; springs; ravishing; require; rosa; orient; bursting; intelligence; operations; tempting; agency; secret; death
Body Double,Tess Gerritsen (Goodreads Author),gerritsen; maura; rizzoli; isles; tess; chinese; examiner; harvest; share; thrillers; dr; medical; blood; living; murder; surgeon; romantic; seaside; denying; probe
"Drums, Girls & Dangerous Pie",Jordan Sonnenblick,drums; steven; jeffrey; grade; pennsylvania; year; brother; boy; jordan; dangerous; pie; diagnosed; heartwarming; old; realities; family; hottest; jazz; totally; attempts
Youth in Revolt: The Journals of Nick Twisp,C.D. Payne,revolt; isbn; youth; press; journals; nick; payne; homelessness; routes; vying; virginity; unassuming; saunders; block; schools; cope; competitive; transformation; precocious; response
Openly Straight,Bill Konigsberg (Goodreads Author),romance; genre; rafe; gay; write; guy; lesbian; male; soccer; prizes; 8th; talks; transfers; headline; yeah; schools; regular; appeal; colorado; fitting
First Contact,Brent LeVasseur (Goodreads Author),gilbert; pirates; sullivan; johnson; farmer; frederic; penzance; carte; opera; pirate; martian; light; oyly; chorus; pinafore; mabel; papp; strange; general; adventure
Revenge,O.L. Ramos (Goodreads Author),klein; died; liz; mary; poet; novelist; vampire; born; english; writer; american; dramatist; mother; vampiric; mcbeth; recreate; messiah; world; someday; species
